iter	Passed	Remaining
0	3	323
1	6	317
2	9	295
3	11	269
4	13	264
5	16	258
6	19	254
7	21	250
8	24	246
9	27	243
10	29	240
11	32	237
12	34	228
13	35	220
14	37	214
15	39	206
16	40	199
17	42	192
18	43	185
19	44	179
20	46	173
21	47	167
22	48	162
23	49	156
24	50	152
25	51	147
26	52	142
27	53	138
28	54	134
29	55	130
30	56	126
31	57	122
32	58	118
33	59	114
34	60	111
35	60	108
36	61	104
37	62	101
38	63	98
39	64	96
40	64	93
41	64	89
42	65	87
43	66	84
44	67	81
45	67	79
46	68	77
47	69	74
48	69	72
49	70	70
50	71	68
51	71	66
52	72	64
53	73	62
54	73	60
55	74	58
56	74	56
57	75	54
58	75	52
59	76	51
60	77	49
61	77	47
62	78	45
63	78	44
64	79	42
65	79	41
66	80	39
67	81	38
68	81	36
69	82	35
70	82	33
71	83	32
72	83	31
73	84	29
74	85	28
75	85	27
76	86	25
77	86	24
78	87	23
79	87	21
80	88	20
81	89	19
82	89	18
83	90	17
84	90	16
85	91	14
86	91	13
87	92	12
88	92	11
89	93	10
90	94	9
91	94	8
92	95	7
93	95	6
94	96	5
95	96	4
96	97	3
97	97	1
98	98	0
99	98	0
